Player,Span,Mat,Start,Sub,Pts,Tries,Conv,Pens,Drop,GfM,Won,Lost,Draw,%
BJ Cairns (Scot),2008-2009,7,7,0,5,1,0,0,0,0,2,5,0,28.57
WR Cale (Wales),1949-1950,7,7,0,3,1,0,0,0,0,5,2,0,71.42
S Calleja (Chile),2000-2002,7,7,0,15,3,0,0,0,0,2,5,0,28.57
A Camara (CdI),1993-1995,7,5,2,15,3,0,0,0,0,3,4,0,42.85
T Cameron (HK),2005-2007,7,7,0,5,1,0,0,0,0,3,4,0,42.85
P Camiscioni (Italy),1975-1978,7,6,1,0,0,0,0,0,0,3,4,0,42.85
G Carabignac (Fra),1951-1953,7,7,0,9,0,0,0,3,0,2,5,0,28.57
S Carracedo (Urug),2005-2008,7,5,2,5,1,0,0,0,0,2,5,0,28.57
J Carrasco (Chile),2019-2019,7,4,3,0,0,0,0,0,0,1,6,0,14.28
JH Carroll (Aust),1958-1959,7,7,0,3,1,0,0,0,0,1,5,1,21.42
MP Carter (NZ),1991-1998,7,4,3,0,0,0,0,0,0,5,2,0,71.42
RE Casey (Ire),1999-2009,7,3,4,5,1,0,0,0,0,3,3,1,50
DY Cassels (Scot),1880-1883,7,7,0,0G,0,0,0,0,0,4,3,0,57.14
S Castaignede (Fra),1999-1999,7,2,5,0,0,0,0,0,0,5,2,0,71.42
L Castiglione Amaral (Braz),2012-2014,7,7,0,14,0,1,4,0,0,1,6,0,14.28
F Castro Briones (Spain),1989-1992,7,7,0,0,0,0,0,0,0,0,7,0,0
CA Cat (Urug),1951-1961,7,7,0,11,0,1,3,0,0,3,4,0,42.85
EH Catley (NZ),1946-1949,7,7,0,0,0,0,0,0,0,3,4,0,42.85
RHB Cattell (Eng),1895-1900,7,7,0,6,2,0,0,0,0,3,4,0,42.85
BW Catterall (Zimb),1991-1998,7,7,0,0,0,0,0,0,0,1,6,0,14.28
D Chavleishvili (Georg),1990-1993,7,6,1,22,2,1,2,2,0,4,2,1,64.28
B Chivandire (Zimb),1993-1997,7,5,2,5,1,0,0,0,0,2,5,0,28.57
W Claassen (SA),1981-1982,7,7,0,0,0,0,0,0,0,5,2,0,71.42
JAB Clarke (Ire),1922-1924,7,7,0,3,1,0,0,0,0,2,5,0,28.57
AT Clay (Scot),1886-1888,7,7,0,0G,1,0,0,0,0,4,1,2,71.42
WRSF Collis (Ire),1924-1926,7,7,0,0,0,0,0,0,0,4,2,1,64.28
G Colussi (Italy),1957-1968,7,7,0,0,0,0,0,0,0,3,4,0,42.85
RJ Combrinck (SA),2016-2016,7,6,1,15,2,1,1,0,0,3,4,0,42.85
S Conti (Parag),1983-1991,7,6,1,3,0,0,1,0,0,0,7,0,0
GJL Cooper (NZ),1986-1992,7,7,0,63,2,14,7,2,0,5,2,0,71.42
SF Coopper (Eng),1900-1907,7,7,0,6,2,0,0,0,0,1,6,0,14.28
APE Costa (Port),1967-1970,7,7,0,0,0,0,0,0,0,2,4,1,35.71
TD Costa (Port),2009-2012,7,4,3,0,0,0,0,0,0,1,6,0,14.28
F Costes (Fra),1979-1980,7,7,0,4,1,0,0,0,0,4,3,0,57.14
AW Courtney (Ire),1920-1921,7,7,0,0,0,0,0,0,0,1,6,0,14.28
R Cova (Italy),1937-1942,7,7,0,15,5,0,0,0,0,4,3,0,57.14
LI Criscuolo (Arg),1992-1996,7,5,2,9,1,2,0,0,0,2,5,0,28.57
N Crissoveloni (Rom),1936-1938,7,7,0,4,0,0,0,1,0,1,6,0,14.28
PA Cronje (SA),1971-1974,7,7,0,10,3,0,0,0,0,4,1,2,71.42
M Cruz Vergueiro e Silva (Braz),2017-2018,7,5,2,5,1,0,0,0,0,2,5,0,28.57
C Culpan (Can),2006-2007,7,6,1,5,1,0,0,0,0,2,4,1,35.71
MJ Cunningham (Ire),1955-1956,7,7,0,3,1,0,0,0,0,2,4,1,35.71
A Dali (CdI),1993-1995,7,6,1,31,0,2,8,1,0,4,3,0,57.14
M dal Sie (Italy),1993-1996,7,6,1,0,0,0,0,0,0,2,5,0,28.57
JC Daly (Ire),1947-1948,7,7,0,3,1,0,0,0,0,5,2,0,71.42
J Daniell (Eng),1899-1904,7,7,0,0,0,0,0,0,0,4,2,1,64.28
JNG Davidson (Scot),1952-1954,7,7,0,3,1,0,0,0,0,0,7,0,0
CAH Davies (Wales),1957-1961,7,7,0,0,0,0,0,0,0,5,1,1,78.57
D Davies (Germ),2002-2009,7,6,1,10,2,0,0,0,0,4,2,1,64.28
JA Davies (Wales),1913-1914,7,7,0,6,2,0,0,0,0,6,1,0,85.71
SC Davies (Wales),2017-2018,7,6,1,0,0,0,0,0,0,7,0,0,100
D Davis (HK),1996-1997,7,7,0,10,2,0,0,0,0,3,4,0,42.85
M Davudov (Russ),2014-2018,7,0,7,0,0,0,0,0,0,4,3,0,57.14
RNT Dawai (Fiji),2016-2017,7,4,3,0,0,0,0,0,0,4,3,0,57.14
C de Brix (Parag),2015-2018,7,2,5,0,0,0,0,0,0,2,5,0,28.57
N Delierguev (Ukr),2006-2012,7,1,6,0,0,0,0,0,0,1,6,0,14.28
MN Dell'acqua (Braz),2019-2019,7,6,1,5,1,0,0,0,0,2,5,0,28.57
S del Solar Torres (Chile),2011-2012,7,3,4,5,1,0,0,0,0,4,3,0,57.14
MA Demolder (Belg),2013-2014,7,3,4,0,0,0,0,0,0,0,6,1,7.14
WM Dickson (Scot),1912-1913,7,7,0,0,0,0,0,0,0,4,3,0,57.14
WD Doherty (Ire),1920-1921,7,7,0,0,0,0,0,0,0,1,6,0,14.28
AJ Donald (NZ),1983-1984,7,7,0,0,0,0,0,0,0,4,2,1,64.28
F Dopke (Germ),1937-1940,7,7,0,0,0,0,0,0,0,3,4,0,42.85
WH Dowell (Wales),1907-1908,7,7,0,0,0,0,0,0,0,6,1,0,85.71
PDA Dowson (Eng),2012-2012,7,2,5,0,0,0,0,0,0,4,2,1,64.28
M Dubois (Belg),2017-2018,7,1,6,0,0,0,0,0,0,1,6,0,14.28
M Ducau (Germ),2017-2018,7,6,1,0,0,0,0,0,0,4,3,0,57.14
HW Dudgeon (Eng),1897-1899,7,7,0,0,0,0,0,0,0,2,4,1,35.71
J Duhau (Fra),1928-1933,7,7,0,14,1,4,1,0,0,4,3,0,57.14
VA Dunn (Aust),1920-1921,7,7,0,0,0,0,0,0,0,1,6,0,14.28
CG du Preez (Scot),2017-2020,7,2,5,0,0,0,0,0,0,3,4,0,42.85
RJ du Preez (SA),1992-1993,7,7,0,0,0,0,0,0,0,1,5,1,21.42
DW Egerton (Eng),1988-1990,7,5,2,4,1,0,0,0,0,5,2,0,71.42
E Elia (Samoa),2016-2019,7,2,5,0,0,0,0,0,0,1,6,0,14.28
W Elliot (Eng),1932-1934,7,7,0,3,1,0,0,0,0,5,2,0,71.42
JM Epalza Solano (Spain),1969-1979,7,7,0,0,0,0,0,0,0,2,4,1,35.71
L Erenavula (Fiji),1989-1992,7,7,0,8,2,0,0,0,0,3,4,0,42.85
J Escalante (Arg),1975-1979,7,7,0,16,2,1,0,2,0,6,1,0,85.71
S Espina Limones (Spain),1994-2002,7,4,3,0,0,0,0,0,0,3,4,0,42.85
G Esterhuizen (SA),2000-2000,7,4,3,0,0,0,0,0,0,4,3,0,57.14
TG Evans (Wales),1970-1972,7,7,0,0,0,0,0,0,0,5,1,1,78.57
J Everett (USA),1984-1987,7,7,0,0,0,0,0,0,0,4,2,1,64.28
MJ Faleafa (Tonga),2017-2018,7,0,7,0,0,0,0,0,0,2,5,0,28.57
AN Fell (Scot),1901-1903,7,7,0,6,2,0,0,0,0,5,2,0,71.42
AC Fernandes (Port),1970-1974,7,7,0,0,0,0,0,0,0,1,4,2,28.57
I Fernandez-Rouyet (Italy),2008-2009,7,2,5,0,0,0,0,0,0,2,5,0,28.57
E Fernandez del Casal (Arg),1951-1956,7,7,0,40,0,14,4,0,0,3,3,1,50
AM Ferreira (Zimb),1987-1991,7,7,0,54,2,5,12,0,0,3,4,0,42.85
DAA Figueiredo (Port),2007-2008,7,0,7,0,0,0,0,0,0,1,6,0,14.28
A Figuerola (Arg),2008-2010,7,2,5,0,0,0,0,0,0,2,5,0,28.57
E Finch (Wales),1924-1928,7,7,0,12,4,0,0,0,0,3,4,0,42.85
S Fischer (Germ),2004-2007,7,7,0,10,2,0,0,0,0,5,2,0,71.42
DJ Fitzpatrick (Ire),2012-2013,7,1,6,0,0,0,0,0,0,3,4,0,42.85
PJ FitzSimons (Aust),1989-1990,7,7,0,0,0,0,0,0,0,4,3,0,57.14
A Flay (USA),1990-1991,7,7,0,4,1,0,0,0,0,3,4,0,42.85
P Fleck (Can),2004-2008,7,3,4,0,0,0,0,0,0,3,4,0,42.85
M Foca (Rom),1992-1993,7,5,2,0,0,0,0,0,0,3,4,0,42.85
H Fonua (Tonga),1973-1974,7,7,0,4,1,0,0,0,0,3,4,0,42.85
EE Ford (Aust),1927-1929,7,7,0,12,4,0,0,0,0,5,2,0,71.42
TR Forman (Aust),1968-1969,7,7,0,3,1,0,0,0,0,0,7,0,0
HH Forsayth (Scot),1921-1922,7,7,0,0,0,0,0,0,0,2,4,1,35.71
J Fort (Fra),1967-1967,7,7,0,0,0,0,0,0,0,4,2,1,64.28
A Fortet Pastor (Spain),2001-2004,7,1,6,0,0,0,0,0,0,2,5,0,28.57
MR Foulds (Spain),2016-2018,7,2,5,0,0,0,0,0,0,3,4,0,42.85
J Fowler (USA),1980-1982,7,7,0,0,0,0,0,0,0,0,6,1,7.14
B Francescato (Italy),1977-1981,7,6,1,0,0,0,0,0,0,2,4,1,35.71
JI Fuentes (Chile),1995-2002,7,3,4,5,0,0,0,0,0,3,4,0,42.85
G Furest (Urug),1951-1961,7,7,0,17,1,1,4,0,0,2,5,0,28.57
HM Garcia Simon (Arg),1990-1992,7,7,0,4,1,0,0,0,0,0,7,0,0
MG Garry (Ire),1909-1911,7,7,0,0,0,0,0,0,0,3,4,0,42.85
AO Geffin (SA),1949-1951,7,7,0,48,0,9,10,0,0,7,0,0,100
SB Geldenhuys (SA),1981-1989,7,7,0,4,1,0,0,0,0,5,2,0,71.42
R Gemmill (Scot),1950-1951,7,7,0,0,0,0,0,0,0,3,4,0,42.85
FA Genoud (Arg),2004-2008,7,3,4,10,2,0,0,0,0,7,0,0,100
R Gensane (Fra),1962-1963,7,7,0,0,0,0,0,0,0,4,3,0,57.14
E Gerosa (Italy),1952-1954,7,7,0,15,5,0,0,0,0,5,2,0,71.42
JC Gibbs (Eng),1925-1927,7,7,0,6,2,0,0,0,0,4,3,0,57.14
IAR Gill (Wales),2010-2016,7,3,4,0,0,0,0,0,0,5,2,0,71.42
M Giucal (Rom),1985-1986,7,7,0,0,0,0,0,0,0,3,4,0,42.85
JJ Glennon (Ire),1980-1987,7,5,2,0,0,0,0,0,0,3,4,0,42.85
D Gouws (Namib),1997-2001,7,7,0,0,0,0,0,0,0,3,4,0,42.85
GC Gowlland (Scot),1908-1910,7,7,0,3,1,0,0,0,0,3,4,0,42.85
A Goyard (Fra),1936-1938,7,7,0,3,1,0,0,0,0,6,1,0,85.71
KC Graham (Zimb),1987-1998,7,7,0,5,1,0,0,0,0,2,5,0,28.57
AG Grant-Asher (Scot),1882-1886,7,7,0,2G,1,0,0,2,0,4,1,2,71.42
JRC Greenlees (Scot),1900-1903,7,7,0,0,0,0,0,0,0,3,3,1,50
RJ Gregg (Ire),1953-1954,7,7,0,12,0,6,0,0,0,3,3,1,50
RGM Grieve (Scot),1935-1936,7,7,0,0,0,0,0,0,0,1,6,0,14.28
JL Griffiths (NZ),1934-1938,7,7,0,0,0,0,0,0,0,5,1,1,78.57
M Grobler (Zimb),1987-1994,7,7,0,61,1,7,14,0,0,2,5,0,28.57
K Guiunashvili (Georg),1990-1992,7,6,1,0,0,0,0,0,0,6,1,0,85.71
S Guranescu (Rom),1997-2001,7,3,4,29,0,10,3,0,0,4,3,0,57.14
JR Gutierrez Sanz (Spain),1993-1994,7,6,1,0,0,0,0,0,0,3,4,0,42.85
LH Gwynn (Ire),1893-1898,7,7,0,0,0,0,0,0,0,4,2,1,64.28
L Haigh (Eng),1910-1911,7,7,0,0,0,0,0,0,0,4,2,1,64.28
JCJ Hall (Can),1996-1998,7,5,2,5,1,0,0,0,0,5,2,0,71.42
FG Handford (Eng/GB),1909-1910,7,7,0,0,0,0,0,0,0,3,4,0,42.85
J Hanley (Eng),1927-1928,7,7,0,3,1,0,0,0,0,5,2,0,71.42
J Hanson (USA),1977-1983,7,7,0,0,0,0,0,0,0,0,7,0,0
SJ Harris (Germ),2015-2019,7,3,4,5,1,0,0,0,0,1,6,0,14.28
G Harrison (Eng),1877-1885,7,7,0,0G,0,0,0,0,0,5,1,1,78.57
TA Harris-Smith (Arg),1969-1973,7,7,0,32,1,2,2,6,0,6,1,0,85.71
C Hawley (USA),2009-2012,7,5,2,5,1,0,0,0,0,3,4,0,42.85
A Haynes (HK),2007-2012,7,6,1,0,0,0,0,0,0,3,4,0,42.85
AR Hazell (Eng),2004-2007,7,3,4,5,1,0,0,0,0,4,3,0,57.14
BH Heatlie (Arg/SA),1891-1910,7,7,0,6,0,3,0,0,0,2,4,1,35.71
P Henderson (NZ),1949-1950,7,7,0,6,2,0,0,0,0,3,4,0,42.85
PW Henderson (NZ),1991-1995,7,7,0,9,2,0,0,0,0,6,1,0,85.71
T Herenger (Belg),2018-2020,7,7,0,5,1,0,0,0,0,3,4,0,42.85
RA Hill (SA),1960-1963,7,7,0,0,0,0,0,0,0,6,1,0,85.71
MSS Hingano (Tonga),2019-2019,7,6,1,15,3,0,0,0,0,2,5,0,28.57
W Hoffmann (Braz),1973-1977,7,7,0,4,1,0,0,0,0,1,6,0,14.28
S Hogg (Arg),1956-1959,7,7,0,3,1,0,0,0,0,3,4,0,42.85
JC Holbeck (Aust),1997-2001,7,5,2,0,0,0,0,0,0,3,4,0,42.85
W Holder (USA),2012-2016,7,5,2,27,1,5,4,0,0,2,5,0,28.57
TE Holliday (Eng),1923-1926,7,7,0,0,0,0,0,0,0,4,2,1,64.28
E Holmgren (Arg),1958-1960,7,7,0,0,0,0,0,0,0,3,4,0,42.85
K Hopkins (Wales),1985-1987,7,6,1,0,0,0,0,0,0,5,2,0,71.42
AP Horgan (Ire),2003-2005,7,6,1,5,1,0,0,0,0,5,2,0,71.42
F Horwath (USA),1984-1990,7,6,1,0,0,0,0,0,0,3,4,0,42.85
JLP Howard (Aust),1970-1973,7,6,1,0,0,0,0,0,0,2,4,1,35.71
DD Howie (Scot),1912-1913,7,7,0,0,0,0,0,0,0,3,4,0,42.85
KCH Hsieh (HK),2010-2014,7,4,3,10,2,0,0,0,0,4,3,0,57.14
A Hubert (Fra),1906-1909,7,7,0,0,0,0,0,0,0,0,7,0,0
APT Hughes (Fiji),1985-1986,7,6,1,0,0,0,0,0,0,3,4,0,42.85
J Hume (Scot),1912-1922,7,7,0,3,1,0,0,0,0,3,3,1,50
TH Hung (HK),2005-2010,7,4,3,0,0,0,0,0,0,0,7,0,0
IG Hunter (Eng),1992-1995,7,7,0,15,3,0,0,0,0,5,2,0,71.42
WJF Hunter (Scot),1964-1967,7,7,0,0,0,0,0,0,0,3,3,1,50
M Hurley (Chile),1969-1979,7,7,0,7,1,0,0,1,0,3,4,0,42.85
ML Iacob (Rom),1997-1999,7,1,6,0,0,0,0,0,0,1,6,0,14.28
M Ilaua (JPN),2016-2017,7,5,2,5,1,0,0,0,0,4,3,0,57.14
P Ilvovsky (Russ),1998-1999,7,7,0,0,0,0,0,0,0,5,2,0,71.42
F Inciarte Stirling (Urug),2017-2018,7,0,7,0,0,0,0,0,0,4,3,0,57.14
HM Inglis (Scot),1951-1952,7,7,0,2,0,1,0,0,0,1,6,0,14.28
T Inokuchi (JPN),2007-2008,7,4,3,5,1,0,0,0,0,3,4,0,42.85
G Intoppa (Italy),2004-2005,7,0,7,0,0,0,0,0,0,2,5,0,28.57
MW Irwin (NZ),1955-1960,7,7,0,0,0,0,0,0,0,4,3,0,57.14
JL Jaffray (NZ),1972-1979,7,7,0,4,1,0,0,0,0,4,3,0,57.14
JS Jameson (Ire),1888-1893,7,7,0,0,0,0,0,0,0,2,4,1,35.71
R Japarashvili (Georg),1992-1997,7,5,2,0,0,0,0,0,0,4,2,1,64.28
H Jarman (GB/Wales),1910-1911,7,7,0,0,0,0,0,0,0,4,3,0,57.14
M Jensen (USA),2017-2018,7,1,6,10,2,0,0,0,0,4,2,1,64.28
YS Jeong (Korea),2009-2017,7,6,1,5,1,0,0,0,0,1,6,0,14.28
A Jimenez (Chile),2003-2004,7,5,2,5,1,0,0,0,0,3,4,0,42.85
WA Johns (Eng),1909-1910,7,7,0,3,1,0,0,0,0,4,2,1,64.28
GK Johnson (SA),1993-1995,7,7,0,86,5,14,11,0,0,6,0,1,92.85
R Johnstone (Can),2001-2003,7,7,0,0,0,0,0,0,0,3,4,0,42.85
DCJ Jones (Wales),1947-1949,7,7,0,0,0,0,0,0,0,3,4,0,42.85
C Joor (Neth),2000-2001,7,6,1,0,0,0,0,0,0,1,6,0,14.28
JL Jordana (Fra),1996-1997,7,3,4,0,0,0,0,0,0,7,0,0,100
AM Jorden (Eng),1970-1975,7,7,0,22,0,5,4,0,0,3,3,1,50
G Kacharava (Georg),2005-2008,7,1,6,0,0,0,0,0,0,3,4,0,42.85
M Kaihea (Tonga),1996-1999,7,4,3,0,0,0,0,0,0,4,2,1,64.28
DK Kaleopa (Samoa),1990-1993,7,7,0,12,3,0,0,0,0,6,1,0,85.71
DJ Kamongo (Namib),2004-2007,7,4,3,0,0,0,0,0,0,4,3,0,57.14
M Kane (USA),2000-2005,7,4,3,0,0,0,0,0,0,2,5,0,28.57
TH Kang (Korea),2016-2018,7,3,4,0,0,0,0,0,0,0,7,0,0
J Kang'ethe (Kenya),2014-2016,7,3,4,10,2,0,0,0,0,5,2,0,71.42
J Kang'ethe (Kenya),2014-2016,7,3,4,5,1,0,0,0,0,5,2,0,71.42
M Kawasaki (JPN),1967-1970,7,7,0,0,0,0,0,0,0,2,5,0,28.57
KH Kearney (Aust),1947-1948,7,7,0,3,1,0,0,0,0,3,4,0,42.85
IJ Keatley (Ire),2009-2017,7,3,4,37,0,5,9,0,0,7,0,0,100
M Kefu (Tonga),1958-1963,7,7,0,7,0,2,1,0,0,3,4,0,42.85
RLF Kelly (Aust),1936-1938,7,7,0,2,0,1,0,0,0,1,6,0,14.28
NJ Kennedy (Eng),2008-2009,7,5,2,5,1,0,0,0,0,4,3,0,57.14
HT Ker (Scot),1887-1890,7,7,0,0,1,0,0,0,0,5,1,1,78.57
E Kewley (Eng),1874-1878,7,7,0,0G,1,0,0,0,0,4,1,2,71.42
Z Khutsishvili (Georg),1993-1998,7,4,3,0,0,0,0,0,0,5,1,1,78.57
HB Kim (Korea),2010-2018,7,6,1,0,0,0,0,0,0,0,7,0,0
JH Kim (Korea),2016-2019,7,6,1,0,0,0,0,0,0,0,7,0,0
S Kin (JPN),2016-2017,7,6,1,5,1,0,0,0,0,5,2,0,71.42
T King (Port),1998-2001,7,5,2,5,1,0,0,0,0,2,5,0,28.57
RM Kinnear (GB/Scot),1924-1926,7,7,0,0,0,0,0,0,0,2,4,1,35.71
P Kiole (Tonga),1977-1980,7,7,0,5,0,1,1,0,0,2,5,0,28.57
HJ Kittermaster (Eng),1925-1926,7,7,0,9,3,0,0,0,0,2,3,2,42.85
H Kobayashi (JPN),1983-1986,7,4,3,23,0,4,5,0,0,1,6,0,14.28
A Kone (CdI),1993-1995,7,6,1,0,0,0,0,0,0,4,3,0,57.14
SS Koniferedi (Fiji),2012-2013,7,6,1,0,0,0,0,0,0,4,3,0,57.14
JL Kritzinger (SA),1974-1976,7,7,0,4,1,0,0,0,0,5,1,1,78.57
J Kubalek (Czech),2004-2006,7,4,3,5,1,0,0,0,0,2,5,0,28.57
K Kucera (Czech),2006-2008,7,6,1,0,0,0,0,0,0,0,7,0,0
M Kunavore (Fiji),2005-2007,7,4,3,10,2,0,0,0,0,5,2,0,71.42
J Kurda (Czech),2003-2008,7,7,0,0,0,0,0,0,0,2,5,0,28.57
B Labadie (Spain),2011-2017,7,6,1,5,1,0,0,0,0,4,3,0,57.14
P Lacaze (Fra),1958-1959,7,7,0,14,0,1,1,3,0,4,1,2,71.42
AD Laing (Scot),1914-1921,7,7,0,4,0,2,0,0,0,3,4,0,42.85
D Lambert (Eng),1907-1911,7,7,0,46,8,8,2,0,0,3,4,0,42.85
LB Lambie (Scot),1934-1935,7,7,0,3,1,0,0,0,0,2,5,0,28.57
J Lapple (Germ),2010-2015,7,1,6,5,1,0,0,0,0,4,3,0,57.14
J Larrieu (Fra),1920-1923,7,7,0,0,0,0,0,0,0,3,4,0,42.85
H Larrue (Fra),1960-1960,7,7,0,3,1,0,0,0,0,6,1,0,85.71
R Latilevu (Fiji),1970-1976,7,6,1,11,3,0,0,0,0,3,4,0,42.85
TJ Lavea Levi (Samoa),2010-2011,7,5,2,3,0,0,1,0,0,2,5,0,28.57
JW Lee (Korea),1998-2002,7,7,0,65,13,0,0,0,0,2,5,0,28.57
MJ Lee (Korea),2015-2019,7,4,3,0,0,0,0,0,0,1,6,0,14.28
RW Lehmann (Germ),2017-2020,7,5,2,0,0,0,0,0,0,1,6,0,14.28
P Leroch (Czech),2005-2008,7,5,2,0,0,0,0,0,0,2,5,0,28.57
M Leuvielle (Fra),1908-1914,7,7,0,0,0,0,0,0,0,0,7,0,0
A Lewis (Urug),2010-2011,7,5,2,20,2,5,0,0,0,4,3,0,57.14
JR Lewis (Wales),1981-1982,7,7,0,4,1,0,0,0,0,3,4,0,42.85
EH Liddell (Scot),1922-1923,7,7,0,12,4,0,0,0,0,4,1,2,71.42
CP Lillicrap (Aust),1985-1991,7,7,0,0,0,0,0,0,0,5,2,0,71.42
R Lips (Neth),1998-2002,7,4,3,5,1,0,0,0,0,0,7,0,0
TJ Little (Ire),1898-1901,7,7,0,0,0,0,0,0,0,3,3,1,50
RG Lloyd (Wales),1913-1914,7,7,0,0,0,0,0,0,0,6,1,0,85.71
TJ Lloyd (Wales),1909-1914,7,7,0,0,0,0,0,0,0,6,1,0,85.71
EC Long (Wales),1936-1939,7,7,0,0,0,0,0,0,0,4,2,1,64.28
F Lopez Martin (Spain),2004-2006,7,6,1,0,0,0,0,0,0,1,5,1,21.42
JA Loubser (SA),1903-1910,7,7,0,9,3,0,0,0,0,5,1,1,78.57
A Luca (Can),2017-2018,7,1,6,0,0,0,0,0,0,1,5,1,21.42
FW Lucas (NZ),1924-1930,7,7,0,3,1,0,0,0,0,6,1,0,85.71
IJM Lumsden (Scot),1947-1949,7,7,0,0,0,0,0,0,0,2,5,0,28.57
V Lutua (Tonga),1981-1988,7,7,0,0,0,0,0,0,0,1,5,1,21.42
FP Luyt (SA),1910-1913,7,7,0,8,2,1,0,0,0,6,1,0,85.71
RR Luyt (SA),1910-1913,7,7,0,3,1,0,0,0,0,6,1,0,85.71
MI McBain (Aust),1983-1989,7,4,3,0,0,0,0,0,0,6,0,1,92.85
AAM McConnell (Ire),1947-1949,7,7,0,0,0,0,0,0,0,5,2,0,71.42
WM McCutcheon (Wales),1891-1894,7,7,0,2,1,0,0,0,0,3,4,0,42.85
DSM Macdonald (Scot),1977-1978,7,7,0,0,0,0,0,0,0,1,6,0,14.28
TMW McGown (GB/Ire),1899-1901,7,7,0,0,0,0,0,0,0,5,2,0,71.42
T McGrath (Ire),1956-1961,7,7,0,0,0,0,0,0,0,1,6,0,14.28
GM McGuinness (Scot),1982-1985,7,7,0,0,0,0,0,0,0,1,6,0,14.28
JE McIlwaine (Ire),1897-1899,7,7,0,0,0,0,0,0,0,4,3,0,57.14
CV MacIvor (Ire),1912-1913,7,7,0,3,1,0,0,0,0,4,3,0,57.14
HR McKibbin (GB/Ire),1938-1939,7,7,0,12,0,3,2,0,0,3,4,0,42.85
RE McMaster (Aust),1946-1947,7,7,0,2,0,1,0,0,0,1,6,0,14.28
JAK Maddocks (Aust),2018-2018,7,3,4,5,1,0,0,0,0,1,6,0,14.28
S Mafana (Tonga),1958-1963,7,7,0,3,1,0,0,0,0,3,4,0,42.85
J Magunazelaia Pinaga (Spain),2012-2013,7,6,1,5,1,0,0,0,0,2,3,2,42.85
L Mailangi (Tonga),1958-1963,7,7,0,0,0,0,0,0,0,3,4,0,42.85
AW Malan (SA),1989-1992,7,7,0,0,0,0,0,0,0,3,4,0,42.85
GLM Malcolmson (Ire),1935-1937,7,7,0,0,0,0,0,0,0,4,3,0,57.14
A Maleig (Fra),1979-1980,7,7,0,0,0,0,0,0,0,2,5,0,28.57
G Malosti (Italy),1953-1958,7,7,0,3,1,0,0,0,0,2,5,0,28.57
F Manchoulas (Urug),1971-1973,7,7,0,0,0,0,0,0,0,4,3,0,57.14
L Manfield (Wales),1939-1948,7,7,0,0,0,0,0,0,0,4,2,1,64.28
F Manukia (Tonga),1993-1995,7,6,1,15,3,0,0,0,0,3,4,0,42.85
J Marcet (Fra),1925-1926,7,7,0,0,0,0,0,0,0,0,7,0,0
P Marini (Italy),1949-1955,7,7,0,9,1,3,0,0,0,4,3,0,57.14
A Marot (Fra),1969-1976,7,7,0,0,0,0,0,0,0,4,3,0,57.14
P Marques (Port),1998-1998,7,7,0,0,0,0,0,0,0,3,3,1,50
CJB Marriott (Eng),1884-1887,7,7,0,0G,0,0,0,0,0,5,1,1,78.57
WJ Marrott (Aust),1922-1923,7,7,0,6,2,0,0,0,0,5,2,0,71.42
G Martinez (Fra),1982-1983,7,7,0,3,0,0,1,0,0,4,3,0,57.14
G Martinez (Chile),1964-1969,7,7,0,3,1,0,0,0,0,2,4,1,35.71
D Masiukov (Ukr),2011-2012,7,5,2,0,0,0,0,0,0,1,6,0,14.28
A Masse (Fra),1908-1910,7,7,0,0,0,0,0,0,0,0,7,0,0
A Mastroiani (Urug),1971-1979,7,3,4,2,0,1,0,0,0,2,5,0,28.57
K Matsushita (JPN),2008-2010,7,6,1,17,3,1,0,0,0,6,1,0,85.71
L Mattarolo (Italy),1973-1973,7,7,0,31,1,0,9,0,0,1,5,1,21.42
G Mauduy (Fra),1957-1961,7,7,0,6,2,0,0,0,0,5,2,0,71.42
L Mauger (Parag),2015-2017,7,3,4,5,1,0,0,0,0,1,6,0,14.28
AW Maxwell (Eng),1975-1978,7,7,0,4,1,0,0,0,0,1,6,0,14.28
PS May (Wales),1988-1991,7,7,0,0,0,0,0,0,0,3,4,0,42.85
WA Meates (NZ),1949-1950,7,7,0,0,0,0,0,0,0,3,3,1,50
N Medkov (Russ),2007-2012,7,5,2,0,0,0,0,0,0,3,4,0,42.85
P Metuaze Jarufe (Chile),2011-2019,7,5,2,5,1,0,0,0,0,3,4,0,42.85
E Michelon (Italy),1969-1971,7,6,1,34,5,2,5,0,0,4,3,0,57.14
F Miller (Wales),1896-1901,7,7,0,0,0,0,0,0,0,5,2,0,71.42
N Mingay (Aust),1920-1923,7,7,0,20,2,4,2,0,0,1,6,0,14.28
R Miralles (Arg),2005-2015,7,6,1,15,3,0,0,0,0,7,0,0,100
I Mirones Truan (Spain),2004-2010,7,1,6,0,0,0,0,0,0,2,4,1,35.71
S Miura (JPN),2016-2019,7,0,7,0,0,0,0,0,0,7,0,0,100
ER Mobbs (Eng),1909-1910,7,7,0,12,4,0,0,0,0,3,3,1,50
Y Mochizuki (JPN),2012-2012,7,6,1,10,2,0,0,0,0,4,3,0,57.14
L Mocoroa Segues (Spain),1967-1977,7,7,0,0,0,0,0,0,0,3,3,1,50
JG Moffatt (Ire),1888-1891,7,7,0,0,0,0,0,0,0,1,5,1,21.42
A Moita (Port),1986-1989,7,6,1,0,0,0,0,0,0,1,5,1,21.42
F Molitika (Tonga),2000-2005,7,2,5,0,0,0,0,0,0,1,6,0,14.28
